TU_id	start	stop	tss	strand	rho_dependent	sigma
TU8J2_1112_from_RpoD_mono	404458	406007	406007	-	True	RpoD_mono
TU8J2_1243_from_RpoD_mono	2410017	2410589	2410589	-	True	RpoD_mono
TU8J2_798_from_RpoD_mono	1922017	1922767	1922767	+	True	RpoD_mono
TU8J2_569_from_RpoD_mono	2984312	2987547	2987547	-	True	RpoD_mono
TU8J2_1472_from_RpoD_mono	2409729	2409977	2409977	+	True	RpoD_mono
TU8J2_1348_from_RpoD_mono	711456	711875	711875	-	True	RpoD_mono
TU8J2_9_from_RpoD_mono	3385724	3387753	3387753	+	True	RpoD_mono
TU8J2_348_from_RpoD_mono	3847348	3847821	3847821	+	True	RpoD_mono
TU8J2_1577_from_RpoD_mono	3438853	3440952	3440952	-	True	RpoD_mono
TU8J2_257_from_RpoD_mono	4073081	4084383	4084383	-	True	RpoD_mono
TU8J2_677_from_RpoD_mono	2528404	2529662	2529662	-	True	RpoD_mono
TU8J2_452_from_RpoD_mono	3418474	3419421	3419421	+	True	RpoD_mono
TU8J2_1099_from_RpoD_mono	444461	446129	446129	+	True	RpoD_mono
TU8J2_1223_from_RpoD_mono	1100980	1102521	1102521	+	True	RpoD_mono
TU8J2_782_from_RpoD_mono	2027509	2027802	2027802	+	True	RpoD_mono
TU8J2_554_from_RpoD_mono	3022068	3023657	3023657	-	True	RpoD_mono
TU8J2_1458_from_RpoD_mono	2158439	2158684	2158684	+	True	RpoD_mono
TU8J2_1333_from_RpoD_mono	552052	552501	552501	-	True	RpoD_mono
TU8J2_885_from_RpoD_mono	1359454	1360272	1360272	+	True	RpoD_mono
TU8J2_333_from_RpoD_mono	3893441	3893986	3893986	+	True	RpoD_mono
TU8J2_1562_from_RpoD_mono	3664241	3665383	3665383	-	True	RpoD_mono
TU8J2_242_from_RpoD_mono	4109185	4109616	4109616	-	True	RpoD_mono
TU8J2_662_from_RpoD_mono	2595669	2596412	2596412	+	True	RpoD_mono
TU8J2_438_from_RpoD_mono	3542179	3542691	3542691	-	True	RpoD_mono
TU8J2_1084_from_RpoD_mono	488830	490554	490554	+	True	RpoD_mono
TU8J2_1209_from_RpoD_mono	23868	25151	25151	-	True	RpoD_mono
TU8J2_768_from_RpoD_mono	2090574	2092304	2092304	+	True	RpoD_mono
TU8J2_54_from_RpoD_mono	2600214	2603867	2603867	-	True	RpoD_mono
TU8J2_996_from_RpoD_mono	885844	889686	889686	-	True	RpoD_mono
TU8J2_1319_from_RpoD_mono	293499	294575	294575	+	True	RpoD_mono
TU8J2_870_from_RpoD_mono	1435628	1437727	1437727	-	True	RpoD_mono
TU8J2_1443_from_RpoD_mono	2060009	2060233	2060233	+	True	RpoD_mono
TU8J2_1548_from_RpoD_mono	3456282	3456515	3456515	-	True	RpoD_mono
TU8J2_228_from_RpoD_mono	4141711	4145506	4145506	-	True	RpoD_mono
TU8J2_318_from_RpoD_mono	3925797	3926399	3926399	-	True	RpoD_mono
TU8J2_423_from_RpoD_mono	3659119	3663097	3663097	-	True	RpoD_mono
TU8J2_107_from_RpoD_mono	2338582	2338770	2338770	+	True	RpoD_mono
TU8J2_648_from_RpoD_mono	2652993	2701754	2701754	+	True	RpoD_mono
TU8J2_753_from_RpoD_mono	2290078	2290272	2290272	-	True	RpoD_mono
TU8J2_525_from_RpoD_mono	3108614	3109360	3109360	+	True	RpoD_mono
TU8J2_1195_from_RpoD_mono	55866	56159	56159	+	True	RpoD_mono
TU8J2_1304_from_RpoD_mono	2952224	2953349	2953349	-	True	RpoD_mono
TU8J2_856_from_RpoD_mono	1487038	1488868	1488868	+	True	RpoD_mono
TU8J2_981_from_RpoD_mono	920474	922503	922503	+	True	RpoD_mono
TU8J2_1533_from_RpoD_mono	3309960	3310286	3310286	-	True	RpoD_mono
TU8J2_213_from_RpoD_mono	4179163	4180377	4180377	-	True	RpoD_mono
TU8J2_1429_from_RpoD_mono	1906272	1906706	1906706	-	True	RpoD_mono
TU8J2_409_from_RpoD_mono	3708172	3708699	3708699	-	True	RpoD_mono
TU8J2_1055_from_RpoD_mono	664319	664669	664669	+	True	RpoD_mono
TU8J2_303_from_RpoD_mono	3962003	3963928	3963928	-	True	RpoD_mono
TU8J2_739_from_RpoD_mono	2310995	2311885	2311885	-	True	RpoD_mono
TU8J2_510_from_RpoD_mono	3159258	3161894	3161894	-	True	RpoD_mono
